type_objectid,name
pworship_1,Waterloo North Mennonite Church
pworship_2,Jehovah's Witnesses
pworship_3,Waterloo North Presbyterian Church
pworship_4,Messiah Lutheran Church
pworship_5,KW Islamic Assoc
pworship_6,Christian Fellowship Church
pworship_7,Trinity Evangelical Missionary Church
pworship_8,The Cedars / Temple Shalom / Westminster United Church
pworship_9,Chinese Alliance Church K-W
pworship_10,St. Paul's Evangelical
pworship_11,Church of The Holy Saviour
pworship_12,Parkminster United Church
pworship_13,Glen Acres Baptist Church
pworship_14,German Gospel Church
pworship_15,Christ Lutheran Church
pworship_16,St. George Serbian Orthodox Church
pworship_17,St. John's Lutheran Church
pworship_18,W-K United Mennonite Church
pworship_19,New Apostolic Church of Canada
pworship_20,First United Church
pworship_21,Redeemer Lutheran Church
pworship_22,Bethel Chapel
pworship_23,Emmanuel United Church of Canada
pworship_24,Knox Presbyterian Church
pworship_25,Waterloo Pentecostal Assembly
pworship_26,Christ The Saviour Antiochian Orthodox Church (English)
pworship_27,Erb Street Mennonite Church
pworship_28,Our Lady Of Lourdes Roman Catholic Church
pworship_29,St. Michael's Roman Catholic Church
pworship_30,Mount Zion Lutheran Church
pworship_31,First Baptist Church
pworship_32,Lincoln Road Chapel
pworship_33,Creekside Church (formerly Community Fellowship Baptist Church)
pworship_34,Muslim Society of Waterloo and Wellington Counties
pworship_35,St. Louis Roman Catholic Church
pworship_36,Rohr Chabad Centre for Jewish Life
pworship_37,Grace Mennonite Brethren Church 
pworship_38,St. Agnes Roman Catholic Church
pworship_39,Waterloo Christian Reformed Church
pworship_40,Lincoln Heights Evangelical Missionary Church
pworship_41,Ukranian Orthodox Church Of St. Sophia
pworship_42,Church Of God (German)
pworship_43,All Saints Anglican Church
pworship_44,Waterloo Mennonite Brethren Church
pworship_45,Church of Christ
pworship_46,St. Columba's Anglican Church
playgrounds_1,Atlantic Park
playgrounds_2,Lausanne Park
playgrounds_3,Columbia Forest Court Park
playgrounds_4,Waterloo Park Zoo
playgrounds_5,Heasley Park
playgrounds_6,Rim Ball 456
playgrounds_7,Dunvegan Park
playgrounds_8,Klosters Park
playgrounds_9,Exmoor Park
playgrounds_10,Bluestream Park
playgrounds_11,Autumn Willow Park
playgrounds_12,Conservation Meadows Park
playgrounds_13,Cornerbrook Park
playgrounds_14,Angler Way Park
playgrounds_15,Woolgrass Park
playgrounds_16,Jacob Green
playgrounds_17,Bechtel Park
playgrounds_18,Rock Elm Park
playgrounds_19,Westwind Park
playgrounds_20,Bolingbrooke Park
playgrounds_21,Blue Beech Park
playgrounds_22,Sundew Park
playgrounds_23,Bonn # 3 (Karlsfeld)
playgrounds_24,Forwell Creek Park
playgrounds_25,Royal Fern Park
