type_objectid,latitude,longitude,type,type_code
orinks_1,43.4671507786903,-80.5320100779733,orinks,0
orinks_2,43.4640951002643,-80.5326245667567,orinks,0
orinks_3,43.4740477573145,-80.5110515138841,orinks,0
orinks_4,43.4857893560504,-80.493107312398,orinks,0
orinks_5,43.5194181218331,-80.5022179152192,orinks,0
orinks_6,43.4889024415718,-80.5446599376148,orinks,0
orinks_7,43.4877461533929,-80.5475183096939,orinks,0
orinks_8,43.4845680393694,-80.5177041501487,orinks,0
orinks_9,43.487469492768,-80.5212631387584,orinks,0
orinks_10,43.4954489552013,-80.5230697829198,orinks,0
orinks_11,43.4934293617034,-80.5021453974459,orinks,0
orinks_12,43.4938464492425,-80.4937909554158,orinks,0
orinks_13,43.4893700552007,-80.4895491395799,orinks,0
orinks_14,43.4881705051397,-80.4843044853565,orinks,0
orinks_15,43.4931827356355,-80.4828318573296,orinks,0
orinks_16,43.4999792765021,-80.49586495328,orinks,0
orinks_17,43.4999918209026,-80.4919891280066,orinks,0
orinks_18,43.5053184969965,-80.5058030537721,orinks,0
orinks_19,43.5079277025,-80.504863612191,orinks,0
orinks_20,43.5087807281229,-80.5014717554627,orinks,0
orinks_21,43.5152146761722,-80.5030648940347,orinks,0
orinks_22,43.5138154031518,-80.5011317527857,orinks,0
orinks_23,43.5154459994811,-80.5057676610884,orinks,0
orinks_24,43.5126865107188,-80.5152164292565,orinks,0
orinks_25,43.5086162516637,-80.5226839271007,orinks,0
orinks_26,43.4952914344361,-80.5169310511305,orinks,0
orinks_27,43.5002363789043,-80.5193293798855,orinks,0
orinks_28,43.4952328248457,-80.5077499431769,orinks,0
orinks_29,43.489515816327,-80.5015310398357,orinks,0
orinks_30,43.4704718698392,-80.5188134096724,orinks,0
orinks_31,43.4677405185276,-80.5111715559617,orinks,0
orinks_32,43.4633613646293,-80.5150265532331,orinks,0
orinks_33,43.4604850120435,-80.5242389806178,orinks,0
orinks_34,43.4553494087691,-80.5415494176055,orinks,0
orinks_35,43.4496479341016,-80.5502706549872,orinks,0
orinks_36,43.4438122899559,-80.5529296644571,orinks,0
orinks_37,43.447180974438,-80.5567784326549,orinks,0
orinks_38,43.4418207774323,-80.5498004700011,orinks,0
orinks_39,43.4470612411365,-80.5449573729435,orinks,0
orinks_40,43.4441048150902,-80.5622999210174,orinks,0
orinks_41,43.4502347249555,-80.5646598324875,orinks,0
orinks_42,43.4522444356908,-80.5632235824096,orinks,0
orinks_43,43.4518401500898,-80.5708526447745,orinks,0
orinks_44,43.4522068783495,-80.5732283921799,orinks,0
orinks_45,43.4488651735075,-80.5760953996829,orinks,0
orinks_46,43.4477517315988,-80.5704421064644,orinks,0
orinks_47,43.4569340296587,-80.5782882956628,orinks,0
orinks_48,43.4549197655305,-80.5836796515049,orinks,0
orinks_49,43.4566578552817,-80.5851672260112,orinks,0
orinks_50,43.469114952102,-80.5720492388561,orinks,0
orinks_51,43.4648055581233,-80.5857754073231,orinks,0
orinks_52,43.464129984876,-80.5875775563901,orinks,0
orinks_53,43.4644248668634,-80.5889102567597,orinks,0
orinks_54,43.4655644131082,-80.5874924568846,orinks,0
orinks_55,43.4657171344334,-80.5907206110611,orinks,0
orinks_56,43.464617236071,-80.5900822044889,orinks,0
orinks_57,43.4627860159368,-80.591020234981,orinks,0
orinks_58,43.4617882632771,-80.5882607983513,orinks,0
orinks_59,43.4613398638618,-80.5922139343883,orinks,0
orinks_60,43.4671962535989,-80.5922949963985,orinks,0
orinks_61,43.4732057682841,-80.5970624604675,orinks,0
orinks_62,43.472604816029,-80.5991945025941,orinks,0
orinks_63,43.4713595557737,-80.5858186541494,orinks,0
orinks_64,43.4748780958229,-80.5903745801766,orinks,0
orinks_65,43.473167457525,-80.6018193455277,orinks,0
orinks_66,43.4709274818993,-80.6016704918929,orinks,0
orinks_67,43.4622829498189,-80.6048358706632,orinks,0
orinks_68,43.4597509415777,-80.561517857134,orinks,0
orinks_69,43.4660079852986,-80.5582195950898,orinks,0
orinks_70,43.4787374349464,-80.5608910091929,orinks,0
orinks_71,43.4904849224039,-80.5630183796066,orinks,0
orinks_72,43.4864000765356,-80.5560894544395,orinks,0
orinks_73,43.4925625890676,-80.5672705941107,orinks,0
