OBJECTID,ASSET_ID,PLAYGROUND_NAME,PARK_NAME,LIFECYCLESTATUS,INSTALL_DATE,MANUFACTURER_SIGNAGE,NO_SMOKING_SIGNAGE,INFO_LINE_SIGNAGE,SURFACE_TYPE,EDGING_TYPE,POSTS,PLATFORMS,x,y
1,10147899,Atlantic Park,Atlantic Park,Active,,Yes,Yes,Yes,Sand,Pressure Treated Lumber,0,0,-80.505639812,43.515394546
2,10147858,Lausanne Park,Lausanne Park,Active,,Yes,Yes,Yes,Sand,Pressure Treated Lumber,8,2,-80.5733352999999,43.4522678010001
3,10147842,Columbia Forest Court Park,Columbia Forest Court Park,Active,,No,Yes,Yes,Sand,Pressure Treated Lumber,0,0,-80.59213177,43.461411093
4,10147923,Waterloo Park Zoo,Waterloo Park,Active,,Yes,Yes,Yes,Wood Fibre,Pressure Treated Lumber,6,1,-80.530911305,43.466950099
5,10147905,Heasley Park,Heasley Park,Active,,Yes,Yes,Yes,Wood Fibre,Berm,21,6,-80.547816541,43.4876873810001
6,10147875,Rim Ball 456,Rim Park,Active,,No,Yes,Yes,Sand,Berm,9,3,-80.5117049419999,43.5190339960001
7,10147886,Dunvegan Park,Dunvegan Park,Active,,Yes,Yes,Yes,Wood Fibre,Berm,9,5,-80.5024961619999,43.493455553
8,10147844,Klosters Park,Klosters Park,Active,,Yes,Yes,Yes,Wood Fibre,Concrete,0,0,-80.585333025,43.4565673710001
9,10147894,Exmoor Park,Exmoor Park,Active,7/22/1996 12:00:00 AM,No,Yes,Yes,Sand,Pressure Treated Lumber,6,2,-80.484270008,43.488148848
10,10147872,Bluestream Park,Bluestream Park,Active,,Yes,Yes,Yes,Wood Fibre,Berm,9,2,-80.517091302,43.495433274
11,10147860,Autumn Willow Park,Autumn Willow Park,Active,10/13/2013 12:00:00 AM,Yes,Yes,Yes,Wood Fibre,Concrete,12,5,-80.6049336739999,43.4620991630001
12,10147908,Conservation Meadows Park,Conservation Meadows Park,Active,10/22/2014 12:00:00 AM,Yes,No,Yes,Wood Fibre,Berm,12,3,-80.575578862,43.4929654110001
13,10147912,Cornerbrook Park,Cornerbrook Park,Active,,Yes,Yes,Yes,Sand,Berm,14,3,-80.567262697,43.492460195
14,10147898,Angler Way Park,Angler Way Park,Active,,Yes,Yes,Yes,Sand,Berm,18,5,-80.500891827,43.5138748470001
